Country,Year,Energy use (kg of oil equivalent per capita),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",Individuals using the Internet (% of population),"International migrant stock, total"
middle east & north africa (excluding high income),2007,1298.286435,,11.9482906,
montenegro,2007,1927.978892,,30.8,
mongolia,2007,1376.434371,,9,
northern mariana islands,2007,,,,
mozambique,2007,420.6937692,,0.91,
mauritania,2007,,,1.433613196,
mauritius,2007,1007.574841,,20.22,
malawi,2007,,,0.965864737,
malaysia,2007,2708.46867,,55.7,
north america,2007,7802.97578,,74.82175132,
namibia,2007,681.0936779,,4.835610778,
new caledonia,2007,,,35.05,
niger,2007,126.6507638,,0.39039062,
nigeria,2007,751.1784015,,6.77,
nicaragua,2007,515.5287381,,3.9,
netherlands,2007,4908.898261,,85.82,
norway,2007,5862.217261,,86.93,
nepal,2007,352.8104775,,1.41,
nauru,2007,,,,
new zealand,2007,4054.495004,,69.76,
oecd members,2007,4578.592598,,61.87047292,
oman,2007,6660.354409,,16.68,
other small states,2007,2647.122755,,16.04448479,
pakistan,2007,500.43205,,6.8,
panama,2007,882.5161603,,22.29,
peru,2007,505.9504003,,25.2,
philippines,2007,432.2646121,,5.97,
palau,2007,,,,
papua new guinea,2007,,,1.790559361,
poland,2007,2527.408412,,48.6,
pre-demographic dividend,2007,526.3132652,,3.229315112,
puerto rico,2007,,,27.86,
"korea, dem. people’s rep.",2007,756.8111252,,0,
portugal,2007,2402.426395,,42.09,
paraguay,2007,704.970153,,11.21,
west bank and gaza,2007,,,21.176,
pacific island small states,2007,393.9548584,,7.393425075,
post-demographic dividend,2007,5052.125824,,65.65983522,
french polynesia,2007,,,28.59,
qatar,2007,18167.59628,,37,
romania,2007,1904.096886,,28.3,
russian federation,2007,4709.845744,,24.66,
rwanda,2007,,,2.115387178,
south asia,2007,455.9518885,,3.965098867,
saudi arabia,2007,5571.710677,,30,
sudan,2007,366.495542,,8.66,
senegal,2007,256.9281634,,6.89,
singapore,2007,4677.204306,,69.9,
solomon islands,2007,130.0464103,,2,
sierra leone,2007,,,0.239834699,
el salvador,2007,733.4908882,,6.11,
san marino,2007,,,50.36482211,
somalia,2007,,,1.122235622,
serbia,2007,2248.155036,,33.15,
sub-saharan africa (excluding high income),2007,680.0815567,,3.41805504,
south sudan,2007,,,,
sub-saharan africa,2007,680.3125851,,3.422001511,
small states,2007,2758.274762,,17.25259125,
sao tome and principe,2007,264.5820806,,14.5904832,
suriname,2007,1111.911436,,14.11,
slovak republic,2007,3320.454722,,61.8,
slovenia,2007,3632.565326,,56.74,
sweden,2007,5472.135392,,82.01,
eswatini,2007,405.6962438,,4.1,
sint maarten (dutch part),2007,,,,
seychelles,2007,2410.828737,,38.38,
syrian arab republic,2007,1138.972618,,11.5,
turks and caicos islands,2007,,,,
chad,2007,,,0.847224521,
east asia & pacific (ida & ibrd countries),2007,1386.827173,,14.56016092,
europe & central asia (ida & ibrd countries),2007,2978.691184,,23.00667272,
togo,2007,415.0082791,,2.2,
thailand,2007,1590.075843,,20.03,
tajikistan,2007,365.133196,,7.197619518,
turkmenistan,2007,4594.929592,,1.406360688,
latin america & the caribbean (ida & ibrd countries),2007,1280.312175,,23.90431894,
timor-leste,2007,58.85803827,,1,
middle east & north africa (ida & ibrd countries),2007,1298.286435,,11.83811176,
tonga,2007,565.4068492,,7.179865329,
south asia (ida & ibrd),2007,455.9518885,,3.965098867,
sub-saharan africa (ida & ibrd countries),2007,680.3125851,,3.422001511,
trinidad and tobago,2007,14617.04183,,32.3,
tunisia,2007,877.1506394,,17.1,
turkey,2007,1437.163425,,28.63,
tuvalu,2007,,,10,
tanzania,2007,454.6441036,,1.6,
uganda,2007,,,3.671965351,
ukraine,2007,2996.21074,,6.55,
upper middle income,2007,1800.515118,,18.48368843,
uruguay,2007,950.1147896,,34,
united states,2007,7758.165986,,75,
uzbekistan,2007,1777.914768,,7.490604681,
st. vincent and the grenadines,2007,645.0542767,,16,
"venezuela, rb",2007,2129.278568,,20.83,
british virgin islands,2007,,,,
virgin islands (u.s.),2007,,,27.33933584,
vietnam,2007,532.4878224,,20.75544477,
vanuatu,2007,159.4736458,,6.8,
world,2007,1823.195086,,20.42547985,
samoa,2007,318.6007932,,4.749983235,
kosovo,2007,1179.568641,,,
"yemen, rep.",2007,324.2673622,,5.01,
south africa,2007,2775.615654,,8.065375174,
zambia,2007,599.1048678,,4.87,
zimbabwe,2007,787.371199,,3,
aruba,2008,,,52,
afghanistan,2008,,,1.84,
angola,2008,491.9786165,,1.9,
albania,2008,710.7484985,,23.86,
andorra,2008,,,70.04,
arab world,2008,1666.034418,,18.49590568,
united arab emirates,2008,8367.15153,,63,
argentina,2008,1937.641467,,28.11262348,
armenia,2008,1033.171827,,6.21,
american samoa,2008,,,,
antigua and barbuda,2008,,,38,
australia,2008,5964.665776,,71.67,
austria,2008,4032.148426,,72.87,
azerbaijan,2008,1520.313919,,17.08,
burundi,2008,,,0.81,
belgium,2008,5454.667159,,66,
benin,2008,376.8594656,,1.85,
burkina faso,2008,,,0.92,
bangladesh,2008,185.5821114,,2.5,
bulgaria,2008,2648.867056,,39.67,
bahrain,2008,11318.25763,,51.95,
"bahamas, the",2008,,,31.54,
bosnia and herzegovina,2008,1587.934915,,34.66,
belarus,2008,2932.103273,,23,
belize,2008,,,26.3,
bermuda,2008,,,82.3,
bolivia,2008,579.4806003,,12.5,
brazil,2008,1294.480833,,33.83,
barbados,2008,,,61.4,
brunei darussalam,2008,9337.042494,,46,
bhutan,2008,,,6.55,
botswana,2008,1101.246634,,6.25,
central african republic,2008,,,1,
canada,2008,8194.880771,,76.7,
central europe and the baltics,2008,2706.449045,,50.68859057,
switzerland,2008,3499.790982,,79.2,
channel islands,2008,,,,
chile,2008,1815.207845,,37.3,
china,2008,1672.90412,,22.6,
cote d'ivoire,2008,521.9083925,,1.9,
cameroon,2008,332.1719704,,3.4,
"congo, dem. rep.",2008,307.6549802,,0.44,
"congo, rep.",2008,336.0904164,,4.287509903,
colombia,2008,669.2489375,,25.6,
comoros,2008,,,3,
cabo verde,2008,,,14,
costa rica,2008,1027.498894,,32.29,
caribbean small states,2008,4918.348816,,27.67452832,
cuba,2008,958.2083998,,12.94,
curacao,2008,15326.48752,,,
cayman islands,2008,,,61,
cyprus,2008,2388.589477,,42.31,
czech republic,2008,4330.712691,,62.97,
germany,2008,4036.830781,,78,
djibouti,2008,,,2.26,
dominica,2008,,,41.16,
denmark,2008,3501.513847,,85.02,
dominican republic,2008,771.974424,,20.82,
algeria,2008,1073.205629,,10.18,
east asia & pacific (excluding high income),2008,1414.10672,,19.25844061,
early-demographic dividend,2008,826.3951552,,8.498743247,
east asia & pacific,2008,1727.520248,,25.29951011,
europe & central asia (excluding high income),2008,3066.375724,,23.82899968,
europe & central asia,2008,3379.619652,,47.31843651,
ecuador,2008,672.4827682,,18.8,
"egypt, arab rep.",2008,907.5952747,,18.01,
euro area,2008,3730.766504,,64.73270437,
eritrea,2008,220.20851,,0.47,
spain,2008,3026.338408,,59.6,
estonia,2008,4105.417736,,70.58,
ethiopia,2008,486.7608738,,0.45,
european union,2008,3512.663925,,64.21764313,
fragile and conflict affected situations,2008,545.3375568,,3.028238899,
finland,2008,6669.173348,,83.67,
fiji,2008,,,13,
france,2008,4110.585659,,70.68,
faroe islands,2008,,,75.57,
"micronesia, fed. sts.",2008,,,14.49,
gabon,2008,2723.343475,,7.5,
united kingdom,2008,3361.980517,,78.39,
georgia,2008,780.7194535,,10.01,
ghana,2008,266.1197832,,4.27,
gibraltar,2008,4759.408802,,58,
guinea,2008,,,0.92,
"gambia, the",2008,,,6.88,
guinea-bissau,2008,,,2.354888711,
equatorial guinea,2008,,,1.82,
greece,2008,2745.493459,,38.2,
grenada,2008,,,23.18,
greenland,2008,,,62.82,
guatemala,2008,582.3973107,,8.3,
guam,2008,,,48.41870215,
guyana,2008,,,18.2,
high income,2008,5028.555302,,68.77067763,
"hong kong sar, china",2008,2006.298543,,66.7,
honduras,2008,582.8127085,,9.6,
heavily indebted poor countries (hipc),2008,401.6938987,,2.512402792,
croatia,2008,2280.070678,,44.24,
haiti,2008,385.8434803,,7.6,
hungary,2008,2636.646773,,61,
ibrd only,2008,1345.362093,,16.94662919,
ida & ibrd total,2008,1172.577674,,14.08224247,
ida total,2008,484.188668,,4.238001942,
ida blend,2008,665.7089475,,7.133674222,
indonesia,2008,793.1000329,,7.917479385,
ida only,2008,365.0659206,,2.734201441,
isle of man,2008,,,,
india,2008,501.5596349,,4.38,
not classified,2008,,,,
ireland,2008,3293.884635,,65.34,
"iran, islamic rep.",2008,2837.184586,,12.02,
iraq,2008,968.3506997,,1,
iceland,2008,16353.83127,,91,
israel,2008,3129.127764,,59.39,
italy,2008,3087.566331,,44.53,
jamaica,2008,1265.622551,,23.6,
jordan,2008,1078.166204,,23,
japan,2008,3858.434521,,75.4,
kazakhstan,2008,4457.168113,,11,
kenya,2008,443.5401696,,5.2,
kyrgyz republic,2008,593.9464531,,15.7,
cambodia,2008,251.2753322,,0.51,
kiribati,2008,,,7,
st. kitts and nevis,2008,,,49.2,
"korea, rep.",2008,4629.777921,,81,
kuwait,2008,10810.81051,,42,
latin america & caribbean (excluding high income),2008,1257.311576,,25.92981331,
lao pdr,2008,,,3.55,
lebanon,2008,1139.766883,,22.53,
liberia,2008,,,0.53,
libya,2008,2937.630019,,9,
st. lucia,2008,,,30,
latin america & caribbean,2008,1304.414928,,26.50979573,
least developed countries: un classification,2008,333.1025208,,2.122203283,
low income,2008,,,2.4517551,
liechtenstein,2008,,,70,
sri lanka,2008,456.0943403,,5.8,
lower middle income,2008,587.0726032,,6.762827648,
low & middle income,2008,1154.847506,,13.63279704,
lesotho,2008,,,3.58,
late-demographic dividend,2008,1852.251363,,25.19779327,
lithuania,2008,2975.911996,,55.22,
luxembourg,2008,8612.233705,,82.23,
latvia,2008,2106.363689,,63.41,
"macao sar, china",2008,,,49.24,
st. martin (french part),2008,,,,
morocco,2008,512.6078854,,33.1,
monaco,2008,,,67.25,
moldova,2008,936.9094716,,23.39,
madagascar,2008,,,1.65,
maldives,2008,,,23.2,
middle east & north africa,2008,2044.854012,,18.75299529,
mexico,2008,1621.264979,,21.71,
marshall islands,2008,,,4.6,
middle income,2008,1203.110885,,14.83646937,
north macedonia,2008,1461.099505,,46.04,
mali,2008,,,1.57,
malta,2008,2043.526903,,50.08,
myanmar,2008,302.6378999,,0.22,
middle east & north africa (excluding high income),2008,1350.945717,,15.07349353,
montenegro,2008,2067.967759,,32.9,
mongolia,2008,1361.67663,,9.8,
northern mariana islands,2008,,,,
mozambique,2008,417.2386122,,1.56,
mauritania,2008,,,1.87,
mauritius,2008,1027.174206,,21.81,
malawi,2008,,,0.7,
malaysia,2008,2777.663619,,55.8,
north america,2008,7557.741461,,74.26934982,
namibia,2008,712.2840725,,5.329003772,
new caledonia,2008,,,34.51,
niger,2008,127.6911512,,0.7,
nigeria,2008,753.2494042,,8,
nicaragua,2008,514.1684982,,5.3,
netherlands,2008,4848.01369,,87.42,
norway,2008,6752.708982,,90.57,
nepal,2008,361.2641533,,1.73,
nauru,2008,,,,
new zealand,2008,4082.723367,,72.03,
oecd members,2008,4486.987094,,63.9153718,
oman,2008,5690.174677,,20,
other small states,2008,,,18.64968717,
pakistan,2008,481.0217521,,7,
panama,2008,869.0206825,,33.82,
peru,2008,526.3965805,,30.57,
philippines,2008,441.1902097,,6.22,
palau,2008,,,,
papua new guinea,2008,,,1.15,
poland,2008,2564.775642,,53.13,
pre-demographic dividend,2008,532.108521,,3.659929473,
puerto rico,2008,,,38,
"korea, dem. people’s rep.",2008,829.7307354,,0,
portugal,2008,2337.271387,,44.13,
paraguay,2008,728.7650527,,14.27,
west bank and gaza,2008,,,24.358,
pacific island small states,2008,,,8.692047105,
post-demographic dividend,2008,4956.090366,,67.65226505,
french polynesia,2008,,,33.87,
qatar,2008,15832.0889,,44.3,
romania,2008,1928.966361,,32.42,
russian federation,2008,4823.126535,,26.83,
rwanda,2008,,,4.5,
south asia,2008,467.1626093,,4.408935438,
saudi arabia,2008,6046.697649,,36,
sudan,2008,361.9452724,,,
senegal,2008,261.1041291,,7.12,
singapore,2008,5094.135714,,69,
solomon islands,2008,,,3,
sierra leone,2008,,,0.25,
el salvador,2008,733.5005065,,10.08,
san marino,2008,,,54.52,
somalia,2008,,,1.142687372,
serbia,2008,2289.995459,,35.6,
sub-saharan africa (excluding high income),2008,695.9086949,,3.876289507,
south sudan,2008,,,,
sub-saharan africa,2008,695.9086949,,3.880493418,
small states,2008,,,19.86894677,
sao tome and principe,2008,,,15.48,
suriname,2008,1160.955904,,21.06,
slovak republic,2008,3405.692968,,66.05,
slovenia,2008,3836.621785,,58,
sweden,2008,5379.959103,,90,
eswatini,2008,,,6.85,
sint maarten (dutch part),2008,,,,
seychelles,2008,,,40.44,
syrian arab republic,2008,1117.910449,,14,
turks and caicos islands,2008,,,,
chad,2008,,,1.19,
east asia & pacific (ida & ibrd countries),2008,1421.593621,,19.50080066,
europe & central asia (ida & ibrd countries),2008,3014.909738,,26.59295118,
togo,2008,421.0823846,,2.4,
thailand,2008,1624.829222,,18.2,
tajikistan,2008,340.3397814,,8.78,
turkmenistan,2008,4587.451758,,1.75,
latin america & the caribbean (ida & ibrd countries),2008,1307.713584,,26.67697568,
timor-leste,2008,,,1.5,
middle east & north africa (ida & ibrd countries),2008,1350.945717,,14.9616994,
tonga,2008,,,8.110769944,
south asia (ida & ibrd),2008,467.1626093,,4.408935438,
sub-saharan africa (ida & ibrd countries),2008,695.9086949,,3.880493418,
trinidad and tobago,2008,14127.16641,,34.8,
tunisia,2008,905.1782272,,27.53,
turkey,2008,1401.775559,,34.37,
tuvalu,2008,,,15,
tanzania,2008,456.8235194,,1.9,
uganda,2008,,,7.9,
ukraine,2008,2910.660899,,11,
upper middle income,2008,1848.805104,,23.16609342,
uruguay,2008,1243.374914,,39.3,
united states,2008,7488.081921,,74,
uzbekistan,2008,1823.311821,,9.080114523,
st. vincent and the grenadines,2008,,,21,
"venezuela, rb",2008,2347.901811,,25.88,
british virgin islands,2008,,,,
virgin islands (u.s.),2008,,,27.36177742,
vietnam,2008,563.9279605,,23.92,
vanuatu,2008,,,7.269119923,
world,2008,1828.791285,,22.95056071,
samoa,2008,,,5.031615316,
kosovo,2008,1267.742103,,,
"yemen, rep.",2008,332.42086,,6.89,
south africa,2008,2950.153669,,8.43,
zambia,2008,603.2318094,,5.55,
zimbabwe,2008,724.2926216,,3.5,
aruba,2009,,,58,
afghanistan,2009,,,3.55,
angola,2009,515.2171193,,2.3,
albania,2009,732.3166818,,41.2,
andorra,2009,,,78.53,
arab world,2009,1712.024615,,21.42634931,
united arab emirates,2009,7572.354438,,64,
argentina,2009,1865.337264,,34,
armenia,2009,903.7004361,,15.3,
american samoa,2009,,,,
antigua and barbuda,2009,,,42,
australia,2009,5862.551944,,74.25,
austria,2009,3798.151168,,73.45,
azerbaijan,2009,1334.166178,,27.4,
burundi,2009,,,0.9,
belgium,2009,5196.581983,,70,
benin,2009,384.4470943,,2.24,
burkina faso,2009,,,1.13,
bangladesh,2009,193.0731142,,3.1,
bulgaria,2009,2351.655053,,45,
bahrain,2009,10339.1909,,53,
"bahamas, the",2009,,,33.88,
bosnia and herzegovina,2009,1664.232651,,37.74,
belarus,2009,2790.137339,,27.43,
belize,2009,,,27.2,
bermuda,2009,,,83.25,
bolivia,2009,593.6417812,,16.8,
brazil,2009,1240.177285,,39.22,
barbados,2009,,,64.7,
brunei darussalam,2009,7925.914156,,49,
bhutan,2009,,,7.17,
botswana,2009,1007.294607,,6.15,
central african republic,2009,,,1.8,
canada,2009,7797.121136,,80.3,
central europe and the baltics,2009,2527.351474,,55.10283337,
switzerland,2009,3481.852845,,81.3,
channel islands,2009,,,,
chile,2009,1748.328486,,41.56,
china,2009,1778.433519,,28.9,
cote d'ivoire,2009,467.4630482,,2,
cameroon,2009,349.3707074,,3.84,
"congo, dem. rep.",2009,306.5489534,,0.56,
"congo, rep.",2009,371.3707585,,4.5,
colombia,2009,686.1075296,,30,
comoros,2009,,,3.5,
cabo verde,2009,,,21,
costa rica,2009,1008.884386,,34.33,
caribbean small states,2009,4826.410091,,31.7555303,
cuba,2009,1016.655193,,14.33,
curacao,2009,15608.494,,,
cayman islands,2009,,,64.5,
cyprus,2009,2299.796099,,49.81,
czech republic,2009,4034.74351,,64.43,
germany,2009,3790.501152,,79,
djibouti,2009,,,4,
dominica,2009,,,42.02,
denmark,2009,3329.211067,,86.84,
dominican republic,2009,748.1899106,,27.72,
algeria,2009,1153.664071,,11.23,
east asia & pacific (excluding high income),2009,1489.743549,,23.76631254,
early-demographic dividend,2009,843.4624144,,9.697857644,
east asia & pacific,2009,1779.967955,,29.55359909,
europe & central asia (excluding high income),2009,2826.573725,,27.39838891,
europe & central asia,2009,3156.573723,,50.54062025,
ecuador,2009,788.0824322,,24.6,
"egypt, arab rep.",2009,911.4885946,,20,
euro area,2009,3511.67366,,67.04301592,
eritrea,2009,231.3530475,,0.54,
spain,2009,2757.691412,,62.4,
estonia,2009,3648.978843,,72.5,
ethiopia,2009,486.7319303,,0.54,
european union,2009,3299.588956,,67.27798828,
fragile and conflict affected situations,2009,559.9131921,,3.919145859,
finland,2009,6268.300545,,82.49,
fiji,2009,,,17,
france,2009,3913.457639,,71.58,
faroe islands,2009,,,75.18,
"micronesia, fed. sts.",2009,,,15.35,
gabon,2009,2883.595678,,9.5,
united kingdom,2009,3145.585662,,83.56,
georgia,2009,811.5319791,,20.07,
ghana,2009,280.9764122,,5.44,
gibraltar,2009,5123.46194,,65.07,
guinea,2009,,,0.94,
"gambia, the",2009,,,7.63,
guinea-bissau,2009,,,2.303280592,
equatorial guinea,2009,,,2.13,
greece,2009,2649.661201,,42.4,
grenada,2009,,,24.05,
greenland,2009,,,62.83,
guatemala,2009,654.0307341,,9.3,
guam,2009,,,50.64202838,
guyana,2009,,,23.9,
high income,2009,4789.037146,,70.02583361,
"hong kong sar, china",2009,2107.366338,,69.4,
honduras,2009,546.8021139,,9.8,
heavily indebted poor countries (hipc),2009,403.3310922,,3.126912305,
croatia,2009,2207.103023,,50.58,
haiti,2009,385.3788806,,8.1,
hungary,2009,2478.1017,,62,
ibrd only,2009,1364.797337,,20.2866012,
ida & ibrd total,2009,1184.479493,,16.8119493,
ida total,2009,474.6820956,,5.021374049,
ida blend,2009,640.4687178,,8.13181235,
indonesia,2009,845.9972119,,6.92,
ida only,2009,365.5787118,,3.405774784,
isle of man,2009,,,,
india,2009,544.6265982,,5.12,
not classified,2009,,,,
ireland,2009,3149.565141,,67.38,
"iran, islamic rep.",2009,2800.51544,,13.8,
iraq,2009,1137.034404,,1.06,
iceland,2009,16911.07978,,93,
israel,2009,2873.876109,,63.12,
italy,2009,2869.920712,,48.83,
jamaica,2009,1080.154172,,24.3,
jordan,2009,1081.923357,,26,
japan,2009,3678.511133,,78,
kazakhstan,2009,3944.288267,,18.2,
kenya,2009,456.9496124,,6.1,
kyrgyz republic,2009,535.8168781,,16,
